ObjectID,Precipitation,SoilProductivity,Population,ForestCover,TreeGain,TreeLoss,ProtectionLevel,Elevation,Friction,PercentPoverty,Slope,Shape_Length,Shape_Area
1,2010.794118,101.517301,69.75935829,59.79757785,0,0.347750865,0,941.5847751,5172.139545,60.3,14.2618998,0.037856,8.96E-05
2,1644.823529,70.52941176,70,60.94377163,0,0.025086505,0,463.1738754,5076.387764,57.9,18.29415499,0.037856,8.96E-05
3,981,280.9638319,108.521576,37.32179931,0.055363322,0.038927336,0,61.13321799,287.3653003,51.82205882,7.462499203,0.037856,8.96E-05
4,1539.382353,207.2269504,192.5364635,26.34602076,0.006920415,0.011245675,0,4.088235294,23.76393664,46.48858131,2.513184522,0.037856,8.96E-05
5,1809,180.8370884,195.1598952,41.18598616,0.019031142,0.176470588,0,28.55709343,201.2670624,34.04688581,6.894860221,0.037856,8.96E-05
6,1693.264706,254.2508651,150.9452381,6.172145329,0.000865052,0.001730104,0,410.6929066,140.5056128,32.21366782,5.791197178,0.037856,8.96E-05
7,1866.205882,76.27854671,67.38562092,57.46020761,0.009515571,0.162629758,0,115.7681661,811.7517379,24.1,8.239413654,0.037856,8.96E-05
8,2014.176471,32.78027682,0,86.06487889,0,0.651384083,2.997404844,809.7525952,16683.99592,66.3,28.34481759,0.037856,8.96E-05
9,1859.794118,246.6185925,76.03435115,45.27249135,0.002595156,0.057958478,0,223.5873702,1689.673256,65.9,6.318097073,0.037856,8.96E-05
10,2023.735294,49,70.13333333,64.33044983,0,0.179065744,0,316.1695502,2468.245943,41.90865052,11.91750476,0.037856,8.96E-05
11,1802,34.17041522,0,79.70155709,0.002595156,0.275951557,0,603.7413495,8559.024293,52.5,16.80930024,0.037856,8.96E-05
12,1900,94.02352941,70,78.18319328,0,0.231932773,0,459.5857143,4889.431708,48.2,18.03785764,0.037856,8.96E-05
13,2058,50.50432526,68.75353535,42.4783737,0.002595156,0.049307958,0,215.7889273,1244.495469,57,6.873549819,0.037856,8.96E-05
14,1523.382353,229.8378641,110.9562363,48.2032872,0.017301038,0.076124567,0,77.51643599,471.3718515,62.49195502,9.118874509,0.037856,8.96E-05
15,1108,79,70,55.73529412,0.025951557,0.033737024,0,251.865917,1437.257756,46.4,14.89602685,0.037856,8.96E-05
16,1807,395.6108556,200.6581281,2.182525952,0,0.006055363,0,15.62197232,12.44496843,16.04117647,2.373422485,0.037856,8.96E-05
17,2177,51,100.6103286,59.16349481,0.020761246,0.065743945,0,337.6453287,860.9285439,55.79013841,12.53696926,0.037856,8.96E-05
18,1941.941176,97.44809689,70,81.14446367,0,0.114186851,0,470.4922145,7059.336634,55.64541522,15.11448273,0.037856,8.96E-05
19,1792.014706,195.3003229,162.8321678,31.51989619,0.00432526,0.056228374,0,47.68252595,404.7002639,37.7,8.286993127,0.037856,8.96E-05
20,2241.705882,70.17259324,67.97752809,86.26124567,0,0.057958478,0,446.3460208,1645.952579,48.11894464,18.19311132,0.037856,8.96E-05
21,2050,101.6608997,70,93.1583045,0,0.461937716,0.202422145,640.9783737,3186.333791,60.54982699,21.24694431,0.037856,8.96E-05
22,2275,51,68.01503759,74.86072664,0,0.05449827,0,383.849481,1000.181016,57.6732699,7.65820577,0.037856,8.96E-05
23,1981,139.7915225,70,54.53633218,0,0.040657439,0,196.9152249,1368.744614,55.25294118,10.1724668,0.037856,8.96E-05
24,1910,131.6704152,70,81.35899654,0.000865052,0.057093426,0,236.8892734,2092.118456,62.34377163,12.67423817,0.037856,8.96E-05
25,1558,38.44018059,0,97.07439446,0,0,0,271.5908304,3677.401883,58.2615917,14.11855458,0.037856,8.96E-05
26,1722,296.8304498,67.05596107,8.984429066,0,0.01384083,0,128.866782,152.2934524,51.8,4.306599661,0.037856,8.96E-05
27,1886.823529,38,70,96.65138408,0,0.153114187,0,252.1946367,2379.951146,64.8,13.7440824,0.037856,8.96E-05
28,1620.457447,147.4209402,221.875,9.052304965,0,0,0,10.79875887,22.12129193,48.90195382,2.850592408,0.03716701,8.70E-05
29,2202,221.517301,70,34.00951557,0,0.113321799,0,158.9022491,944.6397553,36.28512111,11.4818721,0.037856,8.96E-05
30,1582.705882,336.3425846,70,38.43598616,0.005190311,0.005190311,0,1.052768166,8.819765963,44.1,1.303073222,0.037856,8.96E-05
